Income,Credit_Score,Employment_Status,Loan_Amount,Repayment_History,Age,Loan_Status
119450,554,Unemployed,5369,8,62,Approved
94698,720,Self-Employed,62190,5,61,Approved
102514,602,Salaried,47299,3,57,Approved
93499,698,Salaried,87370,10,65,Approved
91965,573,Salaried,36764,2,38,Approved
31773,713,Salaried,24437,5,26,Approved
92697,620,Unemployed,20769,4,42,Rejected
123339,584,Salaried,24015,8,54,Approved
59513,734,Salaried,47854,6,56,Approved
98369,698,Self-Employed,13280,8,38,Approved
24006,634,Salaried,43225,10,34,Approved
65175,789,Salaried,86195,4,41,Approved
76773,647,Salaried,77928,9,57,Approved
147756,682,Self-Employed,65540,1,23,Rejected
47896,700,Self-Employed,89848,10,35,Approved
55951,634,Salaried,79121,1,31,Rejected
73109,715,Unemployed,66994,9,57,Approved
149047,640,Self-Employed,86992,4,42,Approved
130943,649,Self-Employed,16819,10,24,Approved
24510,782,Salaried,82735,1,32,Rejected
50412,602,Salaried,33062,5,22,Rejected
126818,499,Self-Employed,74641,9,42,Approved
27579,801,Salaried,91766,0,65,Rejected
131238,850,Self-Employed,52122,2,46,Approved
56580,650,Self-Employed,13429,0,60,Approved
139295,535,Salaried,40172,3,54,Approved
58167,657,Self-Employed,43651,4,60,Approved
76461,659,Unemployed,93990,6,34,Rejected
106049,666,Self-Employed,94538,2,63,Approved
36416,596,Salaried,59004,1,31,Rejected
92414,723,Self-Employed,95314,1,40,Rejected
85652,719,Salaried,46448,10,51,Approved
121907,568,Self-Employed,44064,10,33,Approved
149494,732,Self-Employed,84468,2,32,Approved
106361,834,Self-Employed,68403,2,26,Approved
73194,693,Salaried,54626,0,21,Rejected
72830,655,Salaried,48391,10,43,Approved
74335,669,Salaried,72033,7,65,Approved
125823,726,Salaried,76579,8,30,Approved
61758,550,Salaried,51606,3,40,Rejected
41706,692,Salaried,8000,7,63,Approved
63458,651,Salaried,14674,0,55,Approved
22952,819,Self-Employed,18695,7,21,Approved
33798,667,Unemployed,48898,6,43,Rejected
31706,805,Salaried,63349,3,27,Approved
120302,597,Self-Employed,81358,7,32,Approved
113907,724,Self-Employed,27092,7,32,Approved
110580,704,Salaried,79727,4,48,Approved
80044,615,Salaried,68275,2,29,Rejected
113218,693,Self-Employed,9907,0,32,Approved
40965,771,Unemployed,38366,10,31,Rejected
137081,656,Self-Employed,33753,3,37,Approved
85136,553,Unemployed,89232,3,50,Rejected
141947,679,Unemployed,92514,7,38,Approved
39800,612,Salaried,82830,2,35,Rejected
84653,654,Self-Employed,55161,4,44,Approved
110522,674,Salaried,51820,7,48,Approved
84431,552,Unemployed,34591,6,21,Approved
78000,559,Salaried,78425,7,61,Rejected
41607,716,Salaried,13196,0,62,Rejected
69533,641,Self-Employed,30758,4,48,Approved
51039,488,Salaried,17845,5,46,Approved
59196,739,Self-Employed,51955,6,52,Approved
108881,700,Salaried,33477,1,40,Approved
101937,626,Unemployed,23760,1,37,Rejected
98936,581,Self-Employed,40759,8,36,Approved
67036,743,Salaried,86785,7,28,Approved
144760,706,Self-Employed,58011,8,58,Approved
31394,850,Salaried,83192,2,35,Approved
64537,712,Self-Employed,91821,10,33,Approved
35340,709,Self-Employed,90705,3,64,Approved
64063,667,Self-Employed,38345,7,43,Approved
145047,741,Salaried,88361,1,48,Approved
67614,727,Salaried,91391,10,32,Approved
138116,774,Self-Employed,96162,3,33,Approved
84359,641,Salaried,38345,8,53,Approved
110962,647,Salaried,26692,3,41,Approved
79464,644,Salaried,60506,8,27,Approved
54563,739,Salaried,93524,4,58,Rejected
119350,792,Self-Employed,90559,0,39,Approved
145993,646,Salaried,59265,2,51,Approved
54258,648,Salaried,19177,7,36,Approved
121238,704,Unemployed,45137,2,46,Rejected
53948,662,Salaried,72842,3,55,Approved
113196,751,Self-Employed,58236,5,60,Approved
122571,511,Salaried,37820,2,30,Approved
78417,618,Self-Employed,37547,1,51,Rejected
115800,621,Self-Employed,10676,6,62,Approved
55391,506,Self-Employed,32412,7,49,Approved
30303,608,Salaried,68591,8,27,Rejected
32530,611,Salaried,27925,10,29,Approved
78113,665,Self-Employed,99373,1,30,Approved
137339,763,Salaried,12830,4,25,Approved
36585,662,Salaried,60934,2,54,Rejected
79251,603,Salaried,52174,9,64,Approved
111524,676,Unemployed,84164,5,44,Approved
46307,759,Self-Employed,89338,1,47,Rejected
113810,607,Self-Employed,56631,7,55,Approved
59774,612,Self-Employed,64865,0,39,Rejected
125126,722,Salaried,71401,3,42,Approved
95299,663,Salaried,54493,7,47,Approved
91098,729,Salaried,22564,5,34,Approved
42980,679,Self-Employed,45716,8,23,Approved
80217,733,Salaried,27947,6,46,Approved
131360,602,Self-Employed,49118,9,57,Approved
22538,679,Self-Employed,63440,6,24,Rejected
118608,664,Salaried,24881,0,30,Approved
84059,589,Salaried,28695,0,32,Rejected
113530,563,Salaried,83179,8,57,Approved
106229,731,Unemployed,40884,0,43,Approved
76172,654,Unemployed,23846,4,45,Rejected
60127,603,Unemployed,72752,0,50,Rejected
101550,673,Salaried,73079,3,33,Approved
38229,765,Salaried,83485,6,53,Approved
95933,509,Salaried,77199,1,22,Rejected
32310,568,Salaried,99237,5,26,Rejected
104480,611,Salaried,59613,10,57,Approved
101737,790,Salaried,32248,0,50,Approved
30977,701,Unemployed,86978,0,28,Rejected
118474,738,Salaried,30157,2,40,Approved
74055,594,Salaried,32650,9,23,Approved
122296,596,Self-Employed,83707,4,51,Approved
25409,714,Salaried,88754,7,55,Rejected
43329,684,Self-Employed,37237,0,33,Rejected
84219,721,Self-Employed,74294,8,36,Approved
44469,666,Self-Employed,92628,0,31,Rejected
62882,701,Self-Employed,80882,7,38,Rejected
105878,692,Salaried,5474,1,33,Approved
38788,738,Self-Employed,68135,9,32,Approved
108102,741,Salaried,21139,3,40,Approved
33442,559,Salaried,85403,2,59,Rejected
42774,511,Salaried,11368,3,55,Rejected
96394,755,Salaried,99345,0,34,Rejected
123153,769,Self-Employed,21846,1,63,Approved
42177,603,Salaried,44915,6,30,Approved
58999,541,Salaried,27238,3,61,Approved
140266,687,Salaried,82322,3,34,Approved
148659,750,Self-Employed,42382,8,45,Approved
95538,815,Salaried,75735,1,30,Approved
78115,719,Self-Employed,11385,4,55,Approved
65093,652,Self-Employed,48023,2,35,Rejected
99619,613,Salaried,91550,5,60,Rejected
96819,681,Self-Employed,93061,3,24,Rejected
58318,658,Salaried,24826,0,43,Approved
22964,604,Salaried,42470,0,28,Rejected
39694,834,Self-Employed,43866,9,61,Approved
144613,814,Unemployed,58719,0,39,Approved
74360,765,Salaried,56047,8,51,Approved
82699,611,Salaried,15064,10,60,Approved
80724,744,Salaried,77454,5,45,Approved
121756,728,Salaried,26448,3,23,Approved
28444,713,Self-Employed,34919,8,30,Approved
30754,774,Self-Employed,84866,10,30,Approved
55860,728,Self-Employed,70517,1,62,Rejected
83266,736,Salaried,42672,10,61,Approved
107246,728,Self-Employed,91685,10,42,Approved
83792,706,Self-Employed,42438,1,61,Approved
77352,546,Self-Employed,58722,0,32,Rejected
141918,686,Salaried,28368,7,51,Approved
40932,638,Salaried,22403,0,38,Approved
94325,584,Salaried,51703,6,31,Approved
90492,806,Salaried,58487,0,32,Approved
81554,810,Salaried,81553,7,39,Approved
124988,782,Salaried,42136,2,36,Approved
54707,699,Self-Employed,90041,1,30,Approved
143991,781,Salaried,62702,0,36,Approved
63104,681,Self-Employed,11660,2,26,Approved
90851,695,Salaried,75215,5,64,Approved
87687,598,Self-Employed,59608,0,38,Rejected
130471,710,Salaried,41988,8,25,Approved
77058,685,Salaried,49391,6,46,Approved
56992,582,Self-Employed,33670,3,60,Approved
22809,676,Unemployed,63357,10,37,Rejected
67278,674,Salaried,58860,7,59,Approved
127418,815,Salaried,47491,7,48,Approved
21289,747,Self-Employed,32094,1,54,Approved
136501,681,Self-Employed,42871,7,34,Approved
90568,699,Salaried,52295,6,22,Approved
38232,683,Salaried,49829,10,36,Approved
59283,665,Salaried,34383,5,62,Approved
92025,599,Unemployed,60290,7,56,Approved
61040,669,Salaried,26522,3,56,Approved
34114,624,Salaried,52593,0,60,Rejected
106579,586,Unemployed,16547,1,37,Rejected
107391,718,Salaried,49854,9,35,Approved
35453,709,Salaried,79478,8,62,Approved
56560,546,Salaried,82695,4,46,Rejected
51703,671,Salaried,70996,7,34,Approved
105725,755,Salaried,75837,0,33,Approved
114939,759,Salaried,11265,0,60,Approved
114510,757,Self-Employed,37431,5,23,Approved
142039,683,Self-Employed,67154,6,23,Approved
119924,617,Salaried,81055,10,54,Approved
61688,599,Salaried,60371,8,21,Approved
34006,706,Salaried,86097,2,28,Rejected
99904,708,Unemployed,30941,8,65,Approved
139082,777,Salaried,19581,5,40,Approved
146771,762,Self-Employed,13206,9,53,Approved
49928,670,Salaried,60355,1,42,Rejected
50739,587,Self-Employed,68193,0,25,Rejected
24863,656,Salaried,32104,0,29,Rejected
38364,696,Self-Employed,79448,10,55,Approved
92131,665,Salaried,75222,0,25,Approved
91084,637,Unemployed,39213,10,47,Approved
68220,699,Salaried,27684,7,36,Approved
60294,642,Self-Employed,75520,1,37,Approved
127873,633,Self-Employed,68784,9,63,Approved
79804,703,Unemployed,21224,1,48,Approved
125073,650,Salaried,29237,1,48,Approved
145218,698,Salaried,51167,6,36,Approved
61228,700,Salaried,53559,3,38,Rejected
46356,595,Salaried,20766,3,51,Approved
143877,644,Salaried,95122,2,22,Approved
102528,788,Unemployed,41922,6,31,Approved
57819,593,Unemployed,41224,0,48,Rejected
100842,521,Salaried,10750,2,49,Rejected
86957,540,Self-Employed,88196,6,25,Approved
137720,682,Self-Employed,27338,5,56,Approved
53275,682,Unemployed,98760,7,45,Approved
148880,671,Salaried,52122,2,31,Approved
141686,771,Salaried,88111,7,54,Approved
43491,480,Self-Employed,22016,8,65,Rejected
41399,710,Salaried,20757,4,40,Approved
89310,797,Salaried,81106,2,33,Approved
25838,595,Unemployed,82868,6,34,Rejected
58844,652,Unemployed,56594,6,47,Rejected
76563,624,Unemployed,8054,1,23,Rejected
146019,613,Self-Employed,94654,6,42,Approved
149009,656,Salaried,42364,1,22,Approved
39700,787,Salaried,93919,6,22,Approved
135918,818,Salaried,87720,10,40,Approved
31820,655,Salaried,85892,5,54,Rejected
117319,823,Salaried,70432,8,60,Approved
129934,683,Self-Employed,68959,3,24,Approved
135803,812,Salaried,55610,10,31,Approved
49044,673,Self-Employed,7354,8,39,Approved
136148,690,Salaried,41847,10,46,Approved
35077,707,Salaried,74402,8,65,Approved
87452,850,Salaried,82169,7,51,Approved
81041,744,Salaried,58159,5,45,Approved
61071,627,Self-Employed,72408,10,23,Approved
22874,753,Salaried,7065,9,24,Approved
120362,653,Salaried,49498,4,27,Approved
63626,643,Self-Employed,53234,0,50,Rejected
106016,748,Salaried,89786,0,35,Rejected
73329,682,Salaried,34550,2,31,Approved
68575,701,Salaried,26845,0,51,Rejected
135219,681,Salaried,38476,2,57,Approved
32280,705,Self-Employed,21187,1,40,Rejected
115760,712,Salaried,58050,10,60,Approved
117083,535,Salaried,66067,1,54,Rejected
69399,730,Salaried,81107,6,53,Approved
54120,606,Salaried,97340,3,60,Rejected
20689,572,Salaried,11992,1,29,Rejected
141786,676,Self-Employed,28489,7,55,Approved
143206,686,Salaried,33567,10,64,Approved
51326,628,Self-Employed,28718,8,65,Approved
24148,742,Salaried,83592,10,47,Approved
35958,579,Salaried,18252,6,54,Approved
28793,649,Salaried,7825,7,60,Approved
128045,636,Self-Employed,86754,1,59,Approved
135949,677,Self-Employed,96345,9,61,Approved
39927,701,Salaried,26507,8,58,Approved
117076,604,Salaried,36621,2,38,Approved
43305,734,Unemployed,52802,3,53,Rejected
67737,685,Salaried,54965,6,39,Approved
97920,538,Salaried,99133,0,57,Rejected
113591,533,Salaried,43394,8,57,Approved
133693,679,Self-Employed,6153,3,63,Approved
25822,663,Self-Employed,45162,0,47,Rejected
45536,672,Salaried,57866,3,42,Approved
56466,678,Unemployed,54105,9,28,Approved
60342,697,Salaried,53667,3,49,Approved
149744,751,Salaried,92649,5,46,Approved
121063,597,Salaried,81708,8,44,Approved
61654,592,Salaried,28912,0,51,Rejected
146338,598,Salaried,38752,8,59,Approved
84910,702,Salaried,68420,3,27,Approved
85096,773,Salaried,43982,7,40,Approved
76381,648,Self-Employed,45698,2,53,Rejected
38706,492,Salaried,20954,1,57,Rejected
141469,552,Salaried,29165,8,56,Approved
21811,618,Self-Employed,75378,8,56,Approved
42656,638,Self-Employed,85079,10,59,Approved
49855,649,Self-Employed,79548,7,64,Rejected
56308,683,Self-Employed,34244,5,48,Approved
37137,657,Self-Employed,17983,2,32,Rejected
22335,759,Salaried,20171,3,46,Approved
108096,629,Salaried,42378,7,52,Approved
146011,615,Self-Employed,54187,3,25,Approved
35838,716,Salaried,89826,5,55,Rejected
58549,565,Salaried,90389,1,45,Rejected
85823,709,Salaried,5257,4,63,Approved
140576,688,Salaried,72218,2,30,Approved
110254,669,Salaried,33382,1,61,Approved
119605,799,Salaried,23791,1,41,Approved
95545,633,Self-Employed,57729,5,46,Approved
74215,835,Unemployed,8221,4,50,Approved
45971,663,Salaried,36739,1,47,Rejected
132361,584,Unemployed,57461,5,61,Rejected
124536,685,Salaried,30844,1,28,Approved
23263,599,Unemployed,61372,0,53,Rejected
113003,624,Unemployed,48704,1,64,Rejected
30970,710,Salaried,80944,4,30,Approved
116068,722,Self-Employed,22244,10,32,Approved
127374,633,Unemployed,10424,2,42,Approved
37037,754,Unemployed,55314,3,53,Rejected
76399,767,Unemployed,29405,2,64,Rejected
36088,788,Salaried,72136,3,56,Rejected
93747,720,Salaried,13862,7,56,Approved
140584,782,Self-Employed,59653,3,40,Approved
30513,539,Self-Employed,99035,7,50,Rejected
71685,656,Self-Employed,13845,9,30,Approved
146506,615,Salaried,33673,10,41,Approved
59123,689,Salaried,85219,6,29,Rejected
37188,637,Salaried,55689,7,22,Approved
83516,668,Self-Employed,21623,10,59,Approved
86088,821,Salaried,25247,8,57,Approved
106173,667,Self-Employed,77657,3,43,Approved
60786,711,Self-Employed,86785,1,21,Rejected
144231,663,Salaried,39254,1,25,Rejected
87733,686,Salaried,50014,9,26,Approved
57238,680,Salaried,79363,6,53,Approved
144837,714,Unemployed,21808,3,30,Approved
140226,767,Self-Employed,24596,3,32,Approved
84891,804,Salaried,78571,3,59,Approved
23231,703,Salaried,22733,8,60,Approved
97602,724,Salaried,78227,6,55,Approved
92176,594,Salaried,52217,9,34,Approved
39267,673,Unemployed,99054,3,47,Rejected
102417,751,Self-Employed,8128,5,30,Approved
129304,745,Salaried,94866,1,59,Approved
33766,696,Self-Employed,26403,10,24,Approved
114032,746,Salaried,8332,5,54,Approved
38244,717,Self-Employed,73781,6,44,Approved
117348,770,Salaried,55590,4,55,Approved
74485,702,Self-Employed,84552,2,41,Rejected
20846,653,Unemployed,15293,10,28,Approved
145611,705,Salaried,12674,5,54,Approved
41576,460,Self-Employed,58889,7,49,Rejected
97486,709,Unemployed,88798,0,41,Rejected
43591,406,Salaried,43547,3,37,Rejected
141293,551,Salaried,80764,8,36,Approved
115983,714,Self-Employed,91090,0,42,Rejected
124567,716,Salaried,87620,1,32,Approved
76170,593,Salaried,53324,8,33,Approved
80760,627,Salaried,71351,3,33,Rejected
102459,783,Self-Employed,54938,3,21,Approved
122020,644,Salaried,69045,6,62,Approved
130108,848,Salaried,58873,2,31,Approved
22318,680,Self-Employed,54884,0,28,Rejected
106263,711,Salaried,46497,0,27,Approved
34188,801,Self-Employed,67015,0,65,Rejected
57431,690,Salaried,76355,1,42,Rejected
127826,605,Unemployed,92316,7,35,Approved
52566,672,Self-Employed,63257,3,39,Rejected
123587,677,Salaried,14549,0,24,Approved
80191,578,Self-Employed,60811,0,35,Rejected
50243,661,Salaried,34997,5,32,Approved
63452,624,Salaried,7547,9,57,Approved
89000,749,Salaried,11883,3,23,Approved
119469,683,Self-Employed,61174,0,40,Approved
98782,659,Salaried,94757,2,56,Approved
141320,672,Salaried,53029,5,58,Approved
132806,697,Salaried,47300,2,44,Approved
117936,726,Salaried,13422,10,31,Approved
98404,605,Salaried,69158,8,36,Approved
57681,602,Salaried,10269,3,31,Rejected
73634,763,Salaried,84907,10,50,Approved
35456,649,Salaried,82559,3,34,Approved
68644,574,Self-Employed,99146,1,49,Rejected
140442,713,Salaried,32007,10,50,Approved
75365,715,Self-Employed,20369,10,63,Approved
34784,565,Salaried,33456,3,37,Rejected
104751,697,Salaried,80954,6,64,Approved
145140,735,Salaried,25788,1,39,Approved
132774,708,Salaried,89306,7,51,Approved
55630,727,Salaried,19647,7,50,Approved
79007,575,Self-Employed,9643,7,57,Approved
89032,705,Salaried,25839,6,42,Approved
52219,657,Salaried,76639,7,56,Approved
54930,644,Salaried,62217,6,36,Approved
50766,745,Salaried,38699,9,43,Approved
149296,791,Salaried,67324,1,43,Approved
116982,815,Salaried,66617,5,52,Approved
129312,779,Salaried,57699,4,48,Approved
126154,672,Salaried,53835,5,24,Approved
144689,706,Self-Employed,14641,1,57,Approved
33686,738,Unemployed,29675,3,55,Rejected
134613,689,Salaried,55131,10,25,Approved
28652,690,Self-Employed,17846,1,64,Approved
81805,742,Self-Employed,50205,6,50,Approved
97276,676,Salaried,16110,7,24,Approved
66522,625,Self-Employed,79787,5,43,Rejected
39002,649,Self-Employed,14815,0,58,Rejected
44999,728,Unemployed,13791,0,33,Rejected
127207,680,Unemployed,65590,3,62,Rejected
61434,706,Salaried,25950,1,39,Approved
60343,730,Salaried,38384,1,31,Approved
140037,652,Salaried,34854,1,37,Approved
38703,737,Salaried,25580,2,44,Approved
138985,708,Salaried,77370,9,51,Approved
139727,587,Unemployed,70729,7,62,Approved
97813,788,Salaried,27684,0,29,Approved
41519,642,Salaried,70251,6,64,Approved
40262,556,Self-Employed,72780,1,44,Rejected
57013,602,Salaried,56221,4,26,Approved
95064,603,Salaried,59947,0,62,Rejected
39969,684,Unemployed,93821,0,36,Rejected
79235,659,Salaried,48119,1,48,Approved
35013,655,Salaried,41614,4,52,Approved
90237,726,Salaried,56205,5,21,Approved
22749,705,Unemployed,84407,3,30,Approved
112175,704,Salaried,72411,6,51,Approved
27201,711,Salaried,12138,7,35,Approved
45327,726,Salaried,48631,8,21,Approved
42703,522,Salaried,75284,6,22,Approved
128030,653,Unemployed,26272,6,58,Approved
26939,516,Salaried,98903,5,27,Rejected
75804,683,Unemployed,81771,2,25,Rejected
96849,680,Salaried,85427,5,46,Approved
87079,758,Salaried,12763,0,26,Approved
108493,769,Self-Employed,60068,10,50,Approved
124403,695,Salaried,55140,4,45,Approved
71172,642,Salaried,64543,8,50,Approved
127669,716,Self-Employed,85775,10,43,Approved
61339,640,Salaried,38562,5,56,Approved
147975,680,Salaried,55728,9,50,Approved
85588,754,Unemployed,69551,5,39,Approved
115682,638,Salaried,76553,1,21,Rejected
133751,740,Salaried,78188,0,33,Approved
123045,731,Salaried,37009,1,26,Approved
130647,608,Salaried,99832,10,21,Approved
89747,753,Salaried,5914,5,33,Approved
25651,732,Self-Employed,51784,3,30,Approved
84101,688,Salaried,62833,4,24,Approved
43594,623,Self-Employed,10823,2,35,Rejected
135586,616,Salaried,47860,9,43,Approved
50777,640,Salaried,61607,10,29,Approved
49649,721,Salaried,62723,0,33,Rejected
52420,608,Self-Employed,16307,7,21,Approved
103534,713,Salaried,31363,3,23,Rejected
94260,587,Salaried,28252,0,28,Rejected
143350,665,Self-Employed,65793,10,41,Approved
74114,688,Salaried,36234,0,50,Rejected
56696,850,Salaried,59288,2,56,Approved
26403,577,Unemployed,74448,0,49,Rejected
20919,790,Salaried,80742,5,48,Approved
68570,691,Salaried,22461,6,63,Approved
140357,711,Salaried,90836,3,32,Approved
88088,689,Salaried,20746,0,56,Approved
136162,713,Salaried,7078,1,63,Approved
33217,668,Self-Employed,9271,10,46,Approved
32131,789,Salaried,24098,8,58,Approved
128350,646,Self-Employed,87958,10,27,Approved
33876,765,Unemployed,24749,5,60,Approved
26755,632,Self-Employed,70883,6,46,Approved
72532,675,Self-Employed,44757,8,30,Approved
140230,600,Self-Employed,8794,6,23,Approved
109620,714,Unemployed,47193,4,53,Approved
32884,788,Salaried,7687,3,40,Approved
128827,674,Salaried,50237,5,34,Approved
129665,665,Salaried,58074,0,38,Approved
124091,596,Salaried,54530,2,65,Rejected
137345,663,Salaried,31841,8,40,Approved
51184,561,Self-Employed,77824,9,24,Approved
147345,612,Salaried,61689,1,33,Approved
61690,697,Unemployed,29204,1,27,Rejected
124264,779,Salaried,46287,0,51,Approved
95317,850,Salaried,15308,8,57,Approved
121332,636,Salaried,92715,3,58,Approved
101617,788,Salaried,76540,3,49,Approved
103523,698,Salaried,32342,0,55,Rejected
100117,669,Salaried,69117,10,39,Approved
121270,712,Salaried,69519,4,49,Approved
116076,685,Salaried,62919,8,25,Approved
37491,688,Salaried,10135,7,45,Approved
127387,649,Salaried,88460,1,46,Rejected
89689,575,Salaried,95807,8,22,Approved
62001,564,Salaried,97544,6,45,Approved
86849,729,Salaried,98172,6,53,Approved
145708,659,Salaried,93239,2,37,Approved
131485,635,Salaried,75212,9,45,Approved
128381,681,Self-Employed,10403,10,33,Approved
80164,740,Unemployed,49195,4,33,Approved
121938,694,Unemployed,28289,1,26,Approved
70062,631,Salaried,25899,9,35,Approved
109202,772,Salaried,83909,9,57,Approved
103143,798,Salaried,82189,5,63,Approved
52474,717,Self-Employed,54596,6,49,Approved
54640,753,Self-Employed,74954,2,49,Rejected
27947,773,Self-Employed,17289,0,48,Approved
38170,765,Self-Employed,26085,10,42,Approved
76370,726,Salaried,86746,5,40,Approved
82124,725,Self-Employed,47865,3,48,Approved
41465,719,Self-Employed,56930,7,56,Approved
74196,598,Salaried,48966,0,39,Rejected
98543,733,Unemployed,24205,0,46,Approved
50234,578,Salaried,83509,2,42,Approved
63971,620,Unemployed,77039,4,33,Approved
67776,778,Self-Employed,69965,4,34,Approved
85657,743,Salaried,38553,2,24,Approved
67631,792,Self-Employed,66101,3,40,Approved
115803,660,Salaried,95560,3,53,Rejected
62574,594,Self-Employed,66734,5,51,Approved
76407,662,Self-Employed,51956,6,65,Approved
69330,688,Self-Employed,30694,9,22,Approved
